rank,Player,Games,cmp,att,pct,yds,y/a,ay/a,td,int,CQBR,att,yds,avg,td,ttl yds,td/int,yds/td,yds/int,NQBR,QBRDIF,ttl tds,ttltd/int,yds/cmp,ttlyds/G,score
1,Andrew Luck,38,713,1064,67,9430,8.9,9.5,82,22,162.8,163,657,5.9,7,10087,3.727272727,115,428.6363636,120.1989348,42.60106516,89,4.045454545,13.22580645,265.4473684,1
2,Rober Griffin,41,800,1192,67.1,10366,8.7,9.4,78,17,158.9,528,2254,4.3,33,12620,4.588235294,132.8974359,609.7647059,115.8207494,43.07925056,111,6.529411765,12.9575,307.804878,2
3,Ryan Tanehill,50,484,774,62.5,5450,7,6.9,42,21,134.2,115,369,3.2,5,5819,2,129.7619048,259.5238095,101.168174,33.03182601,47,2.238095238,11.26033058,116.38,2
4,Brandon Weeden,30,767,1103,69.5,9260,8.4,8.7,75,27,157.6,39,-150,-3.8,1,9110,2.777777778,123.4666667,342.962963,117.2691901,40.33080991,76,2.814814815,12.07301173,303.6666667,3
5,Brock Osweiler,35,412,680,60.6,5082,7.5,7.5,33,15,135,137,221,1.4,4,5303,2.2,154,338.8,99.52205882,35.47794118,37,2.466666667,12.33495146,151.5142857,3
6,Russel Wilson,50,907,1489,60.9,11720,7.9,8.4,109,30,147.2,441,1421,3.2,23,13141,3.633333333,107.5229358,390.6666667,109.7058988,37.49410119,132,4.4,12.92171996,262.82,1
7,Nick Foles,36,938,1404,66.8,10068,7.2,7.1,67,33,138.1,106,-290,-2.7,4,9778,2.03030303,150.2686567,305.0909091,103.1517094,34.9482906,71,2.151515152,10.73347548,271.6111111,2
8,Kirk Cousins,45,723,1128,64.1,9131,8.1,8.1,66,30,146.1,111,-127,-1.1,1,9004,2.2,138.3484848,304.3666667,108.2853132,37.81468676,67,2.233333333,12.62932227,200.0888889,2
9,Ryan Lindley,49,961,1732,55.5,12690,7.3,7.1,90,47,128.8,90,-275,-3.1,2,12415,1.914893617,141,270,95.71785989,33.08214011,92,1.957446809,13.2049948,253.3673469,3
10,Chandler Harnish,47,687,1110,61.9,8944,8.1,8.2,68,26,145.1,538,2983,5.5,24,11927,2.615384615,131.5294118,344,107.2635135,37.83648649,92,3.538461538,13.01892285,253.7659574,3
11,Cam Newton,20,191,292,65.4,2908,10,10.9,30,7,178.2,285,1586,5.6,24,4494,4.285714286,96.93333333,415.4285714,131.9349315,46.26506849,54,7.714285714,15.22513089,224.7,1
12,Jake Locker,40,619,1147,54,7639,6.7,6.2,53,35,119.1,454,1939,4.3,29,9578,1.514285714,144.1320755,218.2571429,89.69957861,29.40042139,82,2.342857143,12.34087237,239.45,3
13,Blaine Gabbert,31,568,933,60.9,6822,7.3,7.3,40,18,132.6,221,458,2.1,8,7280,2.222222222,170.55,379,97.25125045,35.34874955,48,2.666666667,12.01056338,234.8387097,3
14,Christian Ponder,35,569,965,64.8,9872,7.1,6.7,49,30,132.1,296,833,2.8,10,10705,1.633333333,201.4693878,329.0666667,110.2525907,21.84740933,59,1.966666667,17.34973638,305.8571429,3
15,Andy Dalton,50,812,1317,61.7,10314,7.8,7.9,71,30,140.7,413,1611,3.9,22,11925,2.366666667,145.2676056,343.8,103.6841939,37.01580613,93,3.1,12.70197044,238.5,1
16,Colin Kaepernick,51,740,1271,58.2,10098,7.9,8.4,82,24,142.5,600,4112,6.9,59,14210,3.416666667,123.1463415,420.75,104.8960792,37.6039208,141,5.875,13.64594595,278.627451,2
17,Ryan Mallett,37,552,955,57.8,8385,8.8,9.1,69,24,150.4,135,-141,-1,7,8244,2.875,121.5217391,349.375,110.4995637,39.9004363,76,3.166666667,15.19021739,222.8108108,3
18,Ricky Stanzi,39,542,907,59.8,7377,8.1,7.8,56,31,141.6,160,-4,0,2,7373,1.806451613,131.7321429,237.9677419,105.7814223,35.81857773,58,1.870967742,13.61070111,189.0512821,3
19,T.J. Yates,45,795,1277,62.3,9377,7.3,6.6,58,46,131.7,220,-333,-1.5,7,9044,1.260869565,161.6724138,203.8478261,99.09782041,32.60217959,65,1.413043478,11.79496855,200.9777778,3
20,Nathan Enderle,46,779,1427,54.6,10084,7.1,6.2,74,60,122.7,228,-349,-1.5,3,9735,1.233333333,136.2702703,168.0666667,93.60400607,29.09599393,77,1.283333333,12.94480103,211.6304348,3
21,Tyrod Taylor,50,495,865,57.2,7017,8.1,8.1,44,20,137.5,501,2196,4.4,23,9213,2.2,159.4772727,350.85,100.1421002,37.35789981,67,3.35,14.17575758,184.26,2
22,Greg McElroy,35,436,658,66.3,5691,8.6,9.2,39,10,155.4,114,71,0.6,2,5762,3.9,145.9230769,569.1,112.8419453,42.55805471,41,4.1,13.05275229,164.6285714,3
23,Sam Braford,31,604,893,67.6,8403,9.4,10.6,88,16,175.6,77,36,0.5,5,8439,5.5,95.48863636,525.1875,130.2048339,45.39516611,93,5.8125,13.91225166,272.2258065,2
24,Tim Tebow,55,661,995,66.4,9285,9.3,10.4,88,16,170.8,692,2947,4.3,57,12232,5.5,105.5113636,580.3125,125.5381072,45.2618928,145,9.0625,14.04689864,222.4,2
25,Jimmy Clausen,35,695,1110,62.6,8148,7.3,7.3,60,27,137.2,175,-355,-2,5,7793,2.222222222,135.8,301.7777778,102.4587087,34.74129129,65,2.407407407,11.72374101,222.6571429,3
